GEO_ID,NAME,POP
1600000US0133544,"Hatton CDP, Alabama",365
1600000US0133640,"Hayden town, Alabama",1453
1600000US0133712,"Hayneville town, Alabama",895
1600000US0133808,"Hazel Green CDP, Alabama",3765
1600000US0133856,"Headland city, Alabama",5124
1600000US0133904,"Heath town, Alabama",238
1600000US0133976,"Heflin city, Alabama",3462
1600000US0134024,"Helena city, Alabama",21452
1600000US0134096,"Henagar city, Alabama",2554
1600000US0134480,"Highland Lake town, Alabama",516
1600000US0134490,"Highland Lakes CDP, Alabama",5673
1600000US0134816,"Hillsboro town, Alabama",482
1600000US0134984,"Hissop CDP, Alabama",215
1600000US0135130,"Hobson CDP, Alabama",156
1600000US0135152,"Hobson City town, Alabama",962
1600000US0135200,"Hodges town, Alabama",306
1600000US0135392,"Hokes Bluff city, Alabama",4493
1600000US0135512,"Hollins CDP, Alabama",597
1600000US0135536,"Hollis Crossroads CDP, Alabama",724
1600000US0135560,"Holly Pond town, Alabama",816
1600000US0135632,"Hollywood town, Alabama",939
1600000US0135704,"Holt CDP, Alabama",3540
1600000US0135752,"Holtville CDP, Alabama",5700
1600000US0135800,"Homewood city, Alabama",27697
1600000US0135896,"Hoover city, Alabama",92401
1600000US0136088,"Horn Hill town, Alabama",272
1600000US0136448,"Hueytown city, Alabama",16541
1600000US0136592,"Huguley CDP, Alabama",2944
1600000US0137000,"Huntsville city, Alabama",218814
1600000US0137096,"Hurtsboro town, Alabama",568
1600000US0137264,"Hytop town, Alabama",569
1600000US0137312,"Ider town, Alabama",871
1600000US0137465,"Indian Springs Village city, Alabama",2637
1600000US0137864,"Irondale city, Alabama",13462
1600000US0138032,"Ivalee CDP, Alabama",649
1600000US0138152,"Jackson city, Alabama",4654
1600000US0138248,"Jacksons' Gap town, Alabama",554
1600000US0138272,"Jacksonville city, Alabama",14345
1600000US0138416,"Jasper city, Alabama",14480
1600000US0138608,"Jemison city, Alabama",2728
1600000US0139064,"Joppa CDP, Alabama",419
1600000US0139280,"Kansas town, Alabama",128
1600000US0139472,"Kellyton town, Alabama",188
1600000US0139520,"Kennedy town, Alabama",504
1600000US0139784,"Killen town, Alabama",1431
