ORIG_FID,STATION_ID,LONGNAME,LINES,ADA,PKNRD,GEOID20,ALAND20,POP20,NEAR_FID
,,,,,,170312916001008,4528,0,110
,,,,,,170318391002026,5739,0,70
,,,,,,170318308002002,12559,114,17
,,,,,,170312435002008,4116,32,6
,,,,,,170318412002011,10789,145,80
,,,,,,170318329002004,23564,18,65
,,,,,,170318391002023,14925,0,18
,,,,,,170310630002009,6403,73,44
,,,,,,170318346002000,7397,0,142
,,,,,,170318423002043,8496,0,5
,,,,,,170310815002010,10167,26,90
,,,,,,170310406001003,6715,57,16
,,,,,,170316712001010,10030,45,31
,,,,,,170318123013016,15187,162,1
,,,,,,170312414001010,4627,71,7
,,,,,,170318391002020,8693,83,60
,,,,,,170312107002010,5172,73,71
,,,,,,170313204001017,19879,0,135
,,,,,,170318131001004,7535,39,68
,,,,,,170318382002007,12044,0,109
,,,,,,170310629001010,15367,153,49
,,,,,,170312514004026,3376,3,118
,,,,,,170318411001016,20030,14,27
,,,,,,170311408005020,5731,35,13
,,,,,,170318381001003,15250,0,66
,,,,,,170318391001005,1134,0,125
,,,,,,170310817001012,10908,354,89
,,,,,,170318128011005,6812,27,138
,,,,,,170312520004013,9650,99,2
,,,,,,170313204001007,16951,305,135
,,,,,,170318391001041,17530,7,125
,,,,,,170311601002018,12423,0,10
,,,,,,170310103002014,10344,294,130
,,,,,,170311105022026,10429,56,22
,,,,,,170312435002023,1628,0,6
,,,,,,170316115002013,5727,9,107
,,,,,,170310305001007,5764,7,48
,,,,,,170310103002013,10372,108,130
,,,,,,170312106021007,5086,87,71
,,,,,,170318314001013,9131,0,69
,,,,,,170312827002008,7183,0,67
,,,,,,170318412002009,10305,118,80
,,,,,,170318094012013,6588,0,53
,,,,,,170316711001009,10537,17,31
,,,,,,170310804001002,5225,61,91
,,,,,,170312515002013,7347,0,102
,,,,,,170310102021007,10492,151,130
,,,,,,170310815003011,5051,2,90
,,,,,,170310301011002,18739,363,48
,,,,,,170318404001001,6483,0,76
,,,,,,170318123013008,21620,171,1
,,,,,,170311402002005,7704,134,62
,,,,,,170318431002016,7129,51,111
,,,,,,170318373001006,7771,55,97
,,,,,,170318129003021,9089,88,94
,,,,,,170312808001017,2356,30,67
,,,,,,170310817002030,10416,542,132
,,,,,,170318391001092,6210,213,126
,,,,,,170318391002046,4922,146,21
,,,,,,170311105022025,5247,24,22
,,,,,,170311610001006,13199,104,57
,,,,,,170312213002001,6659,96,8
,,,,,,170318381002000,12814,70,3
,,,,,,170318447003012,7179,56,111
,,,,,,170312405001022,7463,71,7
,,,,,,170318434001008,2019,13,83
,,,,,,170310507001012,7556,44,14
,,,,,,170312601001007,24227,5,119
,,,,,,170318431002015,6219,11,111
,,,,,,170310818001020,5415,0,11
,,,,,,170318131001000,5134,46,68
,,,,,,170318101002000,8069,30,46
,,,,,,170310817002033,5088,15,132
,,,,,,170318330001026,1192,0,85
,,,,,,170314004001005,7995,41,106
,,,,,,170313514001005,2301,0,45
,,,,,,170311402003010,7686,110,62
,,,,,,170313201022005,614,0,88
,,,,,,170312435002042,4154,35,5
,,,,,,170310629001002,12563,152,36
,,,,,,170310715004009,6925,189,91
,,,,,,170318330001039,12360,0,85
,,,,,,170318383002008,2200,0,11
,,,,,,170318423002027,8136,14,5
,,,,,,170318403003018,10139,129,108
,,,,,,170312205003007,4840,53,71
,,,,,,170310105021008,8093,147,38
,,,,,,170318330001035,1224,0,85
,,,,,,170310406003009,6621,0,12
,,,,,,170312609002001,3462,0,93
,,,,,,170310301013000,14496,544,48
,,,,,,170310319002008,26185,104,17
,,,,,,170318431002014,5546,7,111
,,,,,,170310501002021,7406,76,64
,,,,,,170310407001007,7495,131,12
,,,,,,170318094021007,6093,0,52
,,,,,,170318391001060,8343,39,133
