GEOID8,NEAR_DIST,POPDENS,GEOID8,CHITRACT
17031030601,39698.19534,8487,17031030601,1
17031081202,8973.430455,6341.991211,17031081202,
17031063303,19348.08782,2078.540527,17031063303,1
17031220901,28889.21776,3820.674561,17031220901,1
17031210602,29962.36866,4198.171387,17031210602,1
17031220602,28784.19087,4149.814941,17031220602,1
17031220601,28200.06625,3337.069824,17031220601,1
17031040401,36509.25168,3130.654541,17031040401,1
17031252202,31913.7166,2896.304932,17031252202,1
17031252102,36062.03165,3560.406738,17031252102,1
17031770601,93420.08312,456.2924805,17031770601,
17031806103,100653.323,750.3034058,17031806103,
17031802610,107183.8705,529.3490601,17031802610,
17031802609,110006.7283,2492.666992,17031802609,
17031804610,126414.1813,595.0608521,17031804610,
17031770201,114169.3843,809.0769653,17031770201,
17031804308,151922.8451,934.3754272,17031804308,
17031820605,76197.86645,1088.74585,17031820605,
17031836300,30121.41592,4187.750488,17031836300,1
17031834500,34196.91839,1467.876709,17031834500,1
17031836000,25119.28998,1784.450562,17031836000,1
17031836200,34081.23482,1033.112915,17031836200,1
17031834400,39184.28641,2477.928223,17031834400,1
17031834300,50535.28155,1259.988159,17031834300,1
17031825600,107008.6371,317.3318787,17031825600,
17031811302,64361.92191,344.2704468,17031811302,
17031802802,110222.4512,755.3452148,17031802802,
17031829700,141278.3859,69.9494019,17031829700,
17031830003,139732.3246,276.3459778,17031830003,
17031823703,77192.15482,643.0046387,17031823703,
17031829800,124612.3768,510.0160522,17031829800,
17031804607,123150.189,755.4276733,17031804607,
17031823901,96723.93993,132.3252716,17031823901,
17031804709,137519.472,863.6594238,17031804709,
17031826800,89547.2998,223.3397217,17031826800,
17031710300,47476.82162,1677.948364,17031710300,1
17031160900,35861.48268,1414.342896,17031160900,1
17031161000,37451.75875,1718.660889,17031161000,1
17031161100,38976.24934,1298.198731,17031161100,1
17031161200,37427.76345,2101.998535,17031161200,1
17031161300,35819.90287,3024.533691,17031161300,1
17031170100,52892.5954,773.7926025,17031170100,1
17031221600,21227.82535,3720.348633,17031221600,1
17031242100,13198.47273,4679.358398,17031242100,1
17031242000,12070.56674,5542.6875,17031242000,1
17031251200,36720.17692,2278.854004,17031251200,1
17031251300,39342.35763,3011.374756,17031251300,1
17031051300,23686.70017,3483.566406,17031051300,1
17031600700,17478.56958,2236.162598,17031600700,1
17031600900,17943.62332,3717.431152,17031600900,1
17031821200,78752.95307,739.8532715,17031821200,
17031672000,45556.72907,1317.709351,17031672000,1
17031710900,51033.83913,756.4594727,17031710900,1
17031711000,52153.80371,1803.887207,17031711000,1
17031711100,52561.56343,1475.111816,17031711100,1
17031711200,52777.35576,1641.381836,17031711200,1
17031711500,54548.01617,1410.132568,17031711500,1
17031711300,55148.08853,1612.289673,17031711300,1
17031711400,54431.10202,1240.119873,17031711400,1
17031270500,24649.36034,1113.275757,17031270500,1
17031271200,20753.18705,1371.682861,17031271200,1
17031271300,22082.62768,1249.675537,17031271300,1
17031271400,23409.23299,1804.364502,17031271400,1
17031350100,15536.19544,1514.429199,17031350100,1
17031350400,14567.33353,2897.098145,17031350400,1
17031351000,18152.60234,1710.578369,17031351000,1
17031351400,19882.66178,1658.590454,17031351400,1
17031360200,20620.46362,2746.401611,17031360200,1
17031430400,44789.76794,2136.026856,17031430400,1
17031430600,45473.77415,1933.71106,17031430600,1
17031430800,46739.58443,2190.781982,17031430800,1
17031430500,44671.60592,4613.989746,17031430500,1
17031430900,45963.45584,2061.23291,17031430900,1
17031610300,27223.18077,876.0740356,17031610300,1
17031681000,39037.32103,1522.188843,17031681000,1
17031681100,41651.14094,1699.744629,17031681100,1
17031680500,33960.28976,1543.499268,17031680500,1
17031803400,116861.6632,826.9398193,17031803400,
17031803500,121762.7791,758.8694458,17031803500,
17031803604,144185.5138,645.0577393,17031803604,
17031680900,38531.03085,1335.275513,17031680900,1
17031803607,135646.524,734.9371338,17031803607,
17031809500,62156.40927,2374.574219,17031809500,
17031809600,62516.74326,985.3831177,17031809600,
17031809700,60005.82456,1083.540283,17031809700,
17031809800,58859.47418,1729.262207,17031809800,
17031809900,58208.30351,1535.827759,17031809900,
17031810000,53653.12536,1961.090576,17031810000,
17031825501,113240.1328,369.2850037,17031825501,
17031720100,57672.00169,656.7832642,17031720100,1
17031824400,92177.07065,247.51297,17031824400,
17031720200,62419.9757,953.4180908,17031720200,1
17031720300,62685.94265,1110.004883,17031720300,1
17031720400,64681.86536,1141.209473,17031720400,1
17031720500,67372.94392,772.6170654,17031720500,1
17031720600,66660.64776,1120.805908,17031720600,1
17031720700,65952.38743,1129.845093,17031720700,1
17031040600,34550.04147,2948.085938,17031040600,1
17031040700,35842.58937,3865.82251,17031040700,1
17031040800,34449.38187,2900.536133,17031040800,1
17031816900,71656.45438,1459.875855,17031816900,
17031817000,66720.50863,978.03302,17031817000,
17031817101,68250.86329,1781.201538,17031817101,
17031817102,64887.05257,790.2513428,17031817102,
17031825801,91404.8881,563.4428101,17031825801,
17031825802,94919.25908,1511.441406,17031825802,
17031825803,97370.47317,1306.364624,17031825803,
17031825900,97630.68968,788.9152222,17031825900,
17031826000,97533.61732,524.8927612,17031826000,
17031380100,22983.56354,1944.768555,17031380100,1
17031380200,22610.53668,4320.587402,17031380200,1
17031431200,48629.50061,1707.060181,17031431200,1
17031431400,49638.06648,2389.315186,17031431400,
17031803902,128360.064,601.180542,17031803902,
17031804000,126928.6489,726.0461426,17031804000,
17031804104,154047.7075,656.1654053,17031804104,
17031810100,56227.17058,2389.237549,17031810100,
17031810200,53545.90088,2717.374756,17031810200,
17031810301,56004.11657,917.5606689,17031810301,
17031050100,30694.17117,2962.185547,17031050100,1
17031610800,25384.05923,1755.300049,17031610800,1
17031611300,30060.60229,4329.42627,17031611300,1
17031611400,30576.92485,4416.405762,17031611400,1
17031611500,31170.87832,2728.605957,17031611500,1
17031611900,31899.80696,1250.567871,17031611900,1
17031681200,41179.93089,1142.84668,17031681200,1
17031810302,56771.51087,1658.883667,17031810302,
17031810400,67075.53419,900.2371216,17031810400,
17031810701,53145.32825,2981.880615,17031810701,
17031810702,53667.49949,2201.779785,17031810702,
17031810600,54798.48837,1244.699707,17031810600,
17031817200,61797.85557,1705.83374,17031817200,
17031817400,57503.98985,1288.071655,17031817400,
17031817600,57583.60317,1427.15332,17031817600,
17031691200,46464.55934,876.2337036,17031691200,1
17031691100,43801.28866,1702.244751,17031691100,1
17031730100,57180.47939,1446.579712,17031730100,1
17031730300,57170.94263,1357.751709,17031730300,1
17031730400,60173.03106,1016.956055,17031730400,1
17031817700,61155.63628,1275.280396,17031817700,
17031818100,67976.31405,674.5705566,17031818100,
17031826100,103358.8875,648.3955688,17031826100,
17031826301,97325.70616,614.5142212,17031826301,
17031826303,98333.52104,1008.142212,17031826303,
17031826304,96927.85331,869.8806152,17031826304,
17031730500,61154.64548,1236.27063,17031730500,1
17031730600,62733.77673,1246.99585,17031730600,1
17031802801,115602.3439,664.8779907,17031802801,
